LocationName,DiabetesRate,FoodAccessScore,State,County,Pop2010,Urban,MedianFamilyIncome,TractSeniorsRate,TractWhiteRate,TractBlackRate,TractAsianRate,TractNHOPIRate,TractAIANRate,TractHispanicRate,PovertyRatePerc,GroupQuarters
17031730202,0.16399999999999998,1,Illinois,Cook County,3115,1,70491.0,0.22215088282504014,0.005136436597110754,0.981701444622793,0.0009630818619582664,0.0,0.0006420545746388443,0.006741573033707865,0.11900000000000001,0.060700000000000004
17031740300,0.062,1,Illinois,Cook County,4713,1,129063.0,0.10863568852111181,0.9582007214088691,0.011669849352853808,0.005092297899427116,0.0,0.005092297899427116,0.06492679821769573,0.027000000000000003,0.0008
17031803607,0.07,2,Illinois,Cook County,5164,1,117500.0,0.13206816421378775,0.9018202943454686,0.009101471727343146,0.06235476374903176,0.0,0.0005809450038729666,0.0609992254066615,0.019,0.0021
17031816402,0.10800000000000001,0,Illinois,Cook County,4404,1,48173.0,0.06902815622161672,0.5583560399636693,0.055177111716621256,0.004541326067211626,0.0009082652134423251,0.0034059945504087193,0.7752043596730245,0.08800000000000001,0.0009
17031827801,0.134,1,Illinois,Cook County,4998,1,63706.0,0.2028811524609844,0.33913565426170467,0.5958383353341337,0.005002000800320128,0.00020008003201280514,0.0012004801920768306,0.07382953181272509,0.15,0.0886
17031832500,0.048,0,Illinois,Cook County,3606,1,242222.0,0.10011092623405435,0.8383250138657793,0.0684969495285635,0.03577371048252912,0.0,0.0019412090959511925,0.07570715474209651,0.092,0.155
17043846304,0.08,2,Illinois,DuPage County,6239,1,164892.0,0.07244750761339959,0.6289469466260619,0.030293316236576374,0.3083827536464177,0.00032056419297964416,0.00048084628946946624,0.03157557300849495,0.019,0.0
17089854900,0.113,2,Illinois,Kane County,5608,1,62688.0,0.08184736091298145,0.632132667617689,0.1524607703281027,0.04297432239657632,0.0005349500713266762,0.016761768901569187,0.3355920114122682,0.193,0.054900000000000004
17097864411,0.07200000000000001,2,Illinois,Lake County,4912,1,174583.0,0.09405537459283388,0.9311889250814332,0.005293159609120521,0.04458469055374593,0.001017915309446254,0.00040716612377850165,0.02504071661237785,0.01,0.0
17115001900,0.14300000000000002,1,Illinois,Macon County,2645,1,36518.0,0.15765595463137996,0.6291115311909262,0.29073724007561436,0.011342155009451797,0.0,0.0007561436672967864,0.02117202268431002,0.298,0.0
17147954500,0.092,0,Illinois,Piatt County,4582,0,87447.0,0.140986468790921,0.9834133566128328,0.001745962461807071,0.0030554343081623746,0.0,0.0013094718463553033,0.012439982540375382,0.027999999999999997,0.0
17161020100,0.099,0,Illinois,Rock Island County,7127,0,77593.0,0.14999298442542444,0.9696927178335906,0.005472148168935036,0.002385295355689631,0.0002806229830223095,0.0012628034236003929,0.025256068472007856,0.091,0.0
17181950200,0.115,0,Illinois,Union County,2592,0,64479.0,0.1701388888888889,0.9521604938271605,0.0019290123456790122,0.003472222222222222,0.0,0.005787037037037037,0.07484567901234568,0.102,0.0004
17197880507,0.075,1,Illinois,Will County,7057,1,94663.0,0.028340654669122858,0.4711633838741675,0.226300127532946,0.12569080345755987,0.0,0.004392801473714043,0.2997024231259742,0.099,0.0
17197884103,0.079,0,Illinois,Will County,2776,0,95096.0,0.056195965417867436,0.667507204610951,0.12211815561959655,0.07420749279538905,0.0,0.002521613832853026,0.31628242074927954,0.068,0.0
17197980100,0.08199999999999999,2,Illinois,Will County,3264,1,68393.0,0.018688725490196078,0.29932598039215685,0.6792279411764706,0.003676470588235294,0.0,0.001838235294117647,0.13051470588235295,0.17,0.9681000000000001
18027954600,0.125,0,Indiana,Daviess County,4523,0,75172.0,0.15697545876630556,0.9644041565332744,0.0033163829316825116,0.004200751713464515,0.0,0.0013265531726730046,0.03073181516692461,0.121,0.0146
18043070301,0.105,2,Indiana,Floyd County,2908,1,72250.0,0.18363136176066025,0.9439477303988996,0.023039889958734527,0.0034387895460797797,0.0,0.0034387895460797797,0.021320495185694635,0.048,0.0
18089010302,0.226,2,Indiana,Lake County,3472,1,41205.0,0.1543778801843318,0.022753456221198155,0.9366359447004609,0.0014400921658986176,0.0,0.0002880184331797235,0.03773041474654378,0.3,0.0
18089010900,0.281,2,Indiana,Lake County,977,1,20563.0,0.21494370522006143,0.01842374616171955,0.9457523029682702,0.0,0.0,0.0010235414534288639,0.032753326509723645,0.537,0.0
18089042702,0.107,2,Indiana,Lake County,5513,1,82182.0,0.1436604389624524,0.8857246508253219,0.04190096136404861,0.019590059858516234,0.00018138944313440957,0.0018138944313440958,0.10012697261019408,0.046,0.0
18097320700,0.062,0,Indiana,Marion County,1972,1,87153.0,0.09634888438133875,0.9168356997971603,0.035496957403651115,0.02332657200811359,0.0,0.002028397565922921,0.02586206896551724,0.087,0.0
18113971700,0.115,0,Indiana,Noble County,6090,0,69969.0,0.16009852216748768,0.9651888341543514,0.0034482758620689655,0.0064039408866995075,0.0,0.0024630541871921183,0.02889983579638752,0.059000000000000004,0.0202
18137968500,0.11,2,Indiana,Ripley County,4698,1,67813.0,0.13473818646232438,0.9533844189016603,0.0034057045551298426,0.011068539804171988,0.0008514261387824606,0.002554278416347382,0.03959131545338442,0.152,0.0183
18159020100,0.128,0,Indiana,Tipton County,2817,0,69583.0,0.15512957046503373,0.9744408945686901,0.001774937877174299,0.0007099751508697196,0.0003549875754348598,0.001774937877174299,0.03194888178913738,0.124,0.0
18167001800,0.11,2,Indiana,Vigo County,2696,1,38553.0,0.08827893175074183,0.8423590504451038,0.08086053412462908,0.009643916913946587,0.000370919881305638,0.00185459940652819,0.02410979228486647,0.191,0.0
18181958800,0.099,0,Indiana,White County,3185,0,78807.0,0.12401883830455258,0.9808477237048666,0.0003139717425431711,0.0018838304552590266,0.0006279434850863422,0.0031397174254317113,0.019152276295133438,0.043,0.0
19013000800,0.126,2,Iowa,Black Hawk County,4028,1,44944.0,0.0881330685203575,0.7663853028798411,0.1002979145978153,0.007696127110228402,0.003972194637537239,0.007944389275074478,0.1323237338629593,0.298,0.0
19045000900,0.1,2,Iowa,Clinton County,6488,1,90662.0,0.1655363748458693,0.9730271270036991,0.007090012330456227,0.0052404438964241675,0.00015413070283600493,0.0004623921085080148,0.016029593094944512,0.107,0.015600000000000001
19049050300,0.135,2,Iowa,Dallas County,4655,1,53393.0,0.1699248120300752,0.8062298603651987,0.02577873254564984,0.007089151450053705,0.0025778732545649837,0.004081632653061225,0.2880773361976369,0.19699999999999998,0.026600000000000002
19049050812,0.106,0,Iowa,Dallas County,1600,0,140667.0,0.18875,0.960625,0.006875,0.02125,0.0,0.0,0.01125,0.102,0.0194
